area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2,1056,2,1,39.07,3699.81
Plot  Area,Ready To Move,Chikka Tirupathi,4,2600,5,3,120,4615.38
Built-up  Area,Ready To Move,Uttarahalli,3,1440,2,3,62,4305.56
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1521,3,1,95,6245.89
Super built-up  Area,Ready To Move,Kothanur,2,1200,2,1,51,4250
Super built-up  Area,Ready To Move,Whitefield,2,1170,2,1,38,3247.86
Super built-up  Area,18-May,Old Airport Road,4,2732,4,0,204,7467.06
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3300,4,0,600,18181.82
Super built-up  Area,Ready To Move,Marathahalli,3,1310,3,1,63.25,4828.24
Plot  Area,Ready To Move,Gandhi Bazar,6,1020,6,0,370,36274.51
Super built-up  Area,18-Feb,Whitefield,3,1800,2,2,70,3888.89
Plot  Area,Ready To Move,Whitefield,4,2785,5,3,295,10592.46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1000,2,1,38,3800
Built-up  Area,Ready To Move,Gottigere,2,1100,2,2,40,3636.36
Plot  Area,Ready To Move,Sarjapur,3,2250,3,2,148,6577.78
Super built-up  Area,Ready To Move,Mysore Road,2,1175,2,2,73.5,6255.32
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1180,3,2,48,4067.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1540,3,3,60,3896.1
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,2770,4,2,290,10469.31
Super built-up  Area,Ready To Move,Manayata Tech Park,2,1100,2,2,48,4363.64
Built-up  Area,Ready To Move,Kengeri,1,600,1,1,15,2500
Super built-up  Area,19-Dec,Binny Pete,3,1755,3,1,122,6951.57
Plot  Area,Ready To Move,Thanisandra,4,2800,5,2,380,13571.43
Super built-up  Area,Ready To Move,Bellandur,3,1767,3,1,103,5829.09
Super built-up  Area,18-Nov,Thanisandra,1,510,1,0,25.25,4950.98
Super built-up  Area,18-May,Mangammanapalya,3,1250,3,2,56,4480
Super built-up  Area,Ready To Move,Electronic City,2,660,1,1,23.1,3500
Built-up  Area,20-Dec,Whitefield,3,1610,3,2,81,5031.06
Super built-up  Area,17-Oct,Ramagondanahalli,2,1151,2,2,48.77,4237.19
Super built-up  Area,Ready To Move,Electronic City,3,1025,2,1,47,4585.37
Super built-up  Area,19-Dec,Yelahanka,4,2475,4,0,186,7515.15
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075,2,1,35,3255.81
Super built-up  Area,Ready To Move,Hebbal,3,1760,2,2,123,6988.64
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1693,3,3,57.39,3389.84
Built-up  Area,Ready To Move,Kasturi Nagar,3,1925,3,0,125,6493.51
Super built-up  Area,21-Dec,Kanakpura Road,2,700,2,1,36,5142.86
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1070,2,1,45.5,4252.34
Super built-up  Area,Ready To Move,Kundalahalli,3,1724,3,2,125,7250.58
Super built-up  Area,Ready To Move,Chikkalasandra,3,1290,2,2,56.12,4350.39
Built-up  Area,Ready To Move,Uttarahalli,2,1143,2,2,45,3937.01
Built-up  Area,Ready To Move,Murugeshpalya,2,1296,2,0,81,6250
Super built-up  Area,19-Dec,Sarjapur  Road,3,1254,3,2,38,3030.3
Super built-up  Area,Ready To Move,Ganga Nagar,1,600,1,0,38,6333.33
Plot  Area,Ready To Move,Yelahanka,1,660,1,0,48,7272.73
Super built-up  Area,19-Sep,Kanakpura Road,2,1330.74,2,2,91.79,6897.67
Plot  Area,Ready To Move,HSR Layout,8,600,9,0,200,33333.33
Super built-up  Area,Ready To Move,Doddathoguru,2,970,2,0,33,3402.06
Super built-up  Area,20-Sep,Whitefield,2,1459,2,1,94.82,6498.97
Plot  Area,Ready To Move,KR Puram,2,800,1,1,130,16250
Built-up  Area,Ready To Move,Himagiri Meadows,2,869,2,1,36,4142.69
Super built-up  Area,Ready To Move,Adarsh Nagar,2,1270,2,1,50,3937.01
Super built-up  Area,18-Mar,Bhoganhalli,3,1670,3,1,99,5928.14
Built-up  Area,Ready To Move,Whitefield,3,2010,3,2,91,4527.36
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1185,2,2,75,6329.11
Super built-up  Area,Ready To Move,Yelahanka,3,1600,2,3,75,4687.5
Super built-up  Area,Ready To Move,Begur Road,2,1200,2,2,44,3666.67
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,1500,2,2,185,12333.33
Plot  Area,Ready To Move,Murugeshpalya,6,1407,4,1,150,10660.98
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,840,2,2,45,5357.14
Plot  Area,Ready To Move,Tharabanahalli,3,4395,3,2,240,5460.75
Super built-up  Area,Ready To Move,Ganga Nagar,2,845,2,1,55,6508.88
Plot  Area,Ready To Move,Whitefield,4,5700,5,3,650,11403.51
Built-up  Area,Ready To Move,Varthur,2,1160,2,2,44,3793.1
Built-up  Area,Ready To Move,Bommanahalli,8,3000,8,0,140,4666.67
Super built-up  Area,Ready To Move,Doddathoguru,2,1100,2,1,62,5636.36
Super built-up  Area,18-Apr,Gunjur,2,1140,2,3,43,3771.93
Super built-up  Area,Ready To Move,Marathahalli,2,1220,2,1,57,4672.13
Plot  Area,Ready To Move,Devarachikkanahalli,8,1350,7,0,85,6296.3
Super built-up  Area,Ready To Move,Kanakpura Road,2,1005,2,1,36.68,3649.75
Plot  Area,Ready To Move,Double Road,3,500,3,2,100,20000
Super built-up  Area,20-Aug,Begur Road,2,1358,2,1,80.58,5933.73
Super built-up  Area,Ready To Move,Hegde Nagar,3,1569,3,1,101,6437.22
Super built-up  Area,18-Apr,Haralur Road,2,1240,2,1,70,5645.16
Super built-up  Area,Ready To Move,Hennur Road,3,2089,3,2,140,6701.77
Super built-up  Area,Ready To Move,Kothannur,2,1206,2,1,48.23,3999.17
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1150,2,3,40,3478.26
Built-up  Area,Ready To Move,Cholanayakanahalli,3,2511,3,3,205,8164.08
Built-up  Area,Ready To Move,Kaval Byrasandra,2,460,1,0,22,4782.61
Built-up  Area,Ready To Move,ISRO Layout,6,4400,6,3,250,5681.82
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,1660,2,2,105,6325.3
Super built-up  Area,19-Mar,Yelahanka,2,1326,2,2,78,5882.35
Super built-up  Area,Ready To Move,Garudachar Palya,3,1325,2,2,60.8,4588.68
Super built-up  Area,Ready To Move,EPIP Zone,3,1499,5,2,102,6804.54
Built-up  Area,Ready To Move,Hegde Nagar,6,3000,7,2,210,7000
Super built-up  Area,Ready To Move,Kanakpura Road,3,1665,3,2,88,5285.29
Super built-up  Area,17-Sep,Dasanapura,2,708,2,2,37,5225.99
Super built-up  Area,Ready To Move,Kasavanhalli,2,1060,2,2,58.06,5477.36
Plot  Area,Ready To Move,Rajaji Nagar,6,710,6,3,160,22535.21
Built-up  Area,Ready To Move,Sanjay nagar,2,1000,2,2,70,7000
Super built-up  Area,18-Dec,Electronic City,2,1000,2,1,28.88,2888
Super built-up  Area,Ready To Move,Mysore Highway,3,1450,2,2,70,4827.59
Plot  Area,Ready To Move,ISRO Layout,4,1200,4,2,155,12916.67
Super built-up  Area,17-Aug,Thanisandra,2,1296,2,3,80,6172.84
Super built-up  Area,Ready To Move,Domlur,3,1540,3,2,90,5844.16
Plot  Area,Ready To Move,Kengeri,4,2894,4,1,245,8465.79
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1330,2,1,48,3609.02
Built-up  Area,Ready To Move,Devasthanagalu,2,1200,2,1,65,5416.67
Built-up  Area,Ready To Move,T Dasarahalli,3,1200,3,1,90,7500
Super built-up  Area,Ready To Move,Yeshwanthpur,3,2502,3,3,138,5515.59
Built-up  Area,Ready To Move,Chandapura,2,650,1,1,17,2615.38
Plot  Area,Ready To Move,Kothanur,3,2400,2,1,150,6250
Super built-up  Area,Ready To Move,Green View Layout,2,1007,2,2,43,4270.11
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,1200,2,2,50,4166.67
Super built-up  Area,Ready To Move,Peenya,2,966,2,2,49.9,5165.63
Built-up  Area,Ready To Move,Nagarbhavi,3,1630,2,1,98,6012.27
Built-up  Area,Ready To Move,Rajaji Nagar,3,1640,3,2,229,13963.41
Built-up  Area,Ready To Move,Jalahalli West,2,782,2,2,55.68,7120.2
Super built-up  Area,19-Apr,Devanahalli,2,1260,2,2,66.78,5300
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3,1800,3,3,120,6666.67
Super built-up  Area,Ready To Move,Byatarayanapura,3,1413,2,2,75,5307.86
Super built-up  Area,Ready To Move,Whitefield,2,1116,2,1,51.91,4651.43
Super built-up  Area,Ready To Move,Electronic City,3,1530,2,1,45.9,3000
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,3700,4,1,225,6081.08
Built-up  Area,Ready To Move,Sarjapur  Road,3,2497,3,2,140,5606.73
Super built-up  Area,Ready To Move,Kengeri,3,1540,2,3,64,4155.84
Super built-up  Area,18-Dec,Thanisandra,3,1436,3,1,74.75,5205.43
Super built-up  Area,18-Jun,Malleshwaram,2,1100,2,2,75,6818.18
Plot  Area,Ready To Move,Hennur Road,2,276,3,3,23,8333.33
Super built-up  Area,Ready To Move,Thanisandra,3,1427,3,2,120,8409.25
Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061,3,1,200,9704.03
Super built-up  Area,18-Mar,Hebbal,4,5611.5,4,0,477,8500.4
Built-up  Area,Ready To Move,Shampura,4,2650,4,2,150,5660.38
Super built-up  Area,22-Dec,Devanahalli,3,1282,2,2,68.52,5344.77
Built-up  Area,Ready To Move,Kadugodi,2,1050,2,1,34,3238.1
Built-up  Area,Ready To Move,LB Shastri Nagar,3,1600,3,2,65,4062.5
Super built-up  Area,22-Jan,Vajarahalli,2,945,2,1,54,5714.29
Super built-up  Area,Ready To Move,Hormavu,2,1500,2,1,78,5200
Plot  Area,Ready To Move,Vishwapriya Layout,7,950,7,0,115,12105.26
Built-up  Area,Ready To Move,Peenya,3,1870,3,3,110,5882.35
Plot  Area,Ready To Move,Sarjapur,3,1600,3,1,75,4687.5
Super built-up  Area,Ready To Move,Electronic City,2,880,1,1,16.5,1875
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,1200,4,0,210,17500
Super built-up  Area,Ready To Move,Kudlu Gate,3,1535,3,2,83,5407.17
Built-up  Area,Ready To Move,Kanakpura Road,2,950,2,1,57,6000
Super built-up  Area,18-Aug,Devanahalli,2,1360,2,1,65,4779.41
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1073.5,2,0,54.005,5030.74
Super built-up  Area,18-May,Bommasandra Industrial Area,3,1280,3,1,50.4,3937.5
Super built-up  Area,19-Jan,Chandra Layout,3,1260,2,2,85.05,6750
Built-up  Area,Ready To Move,Hennur Road,8,5000,8,0,250,5000
Super built-up  Area,19-Dec,Yelahanka,5,3050,5,1,213,6983.61
Super built-up  Area,Ready To Move,Kasavanhalli,3,1563.05,3,1,105,6717.64
Super built-up  Area,Ready To Move,ISRO Layout,2,1000,2,1,60,6000
Super built-up  Area,17-Jul,Anandapura,2,1167,2,1,43.76,3749.79
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,4000,7,2,225,5625
Super built-up  Area,Ready To Move,Kothanur,3,1828,3,0,110,6017.51
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,890,2,1,35,3932.58
Super built-up  Area,Ready To Move,Basavanapura,3,1612,3,3,46.74,2899.5
Plot  Area,Ready To Move,Dinnur,6,1034,5,0,185,17891.68
Super built-up  Area,19-Apr,Mysore Road,3,1710,4,2,91.31,5339.77
Super built-up  Area,Ready To Move,Kannamangala,2,957,2,1,58,6060.61
Super built-up  Area,18-May,Devarachikkanahalli,3,1250,2,3,44,3520
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3,2795,4,0,235,8407.87
Super built-up  Area,Ready To Move,Hulimavu,2,1125,2,2,50,4444.44
Super built-up  Area,18-Jul,Electronic City Phase II,2,1020,2,1,30.6,3000
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1200,2,2,50,4166.67
Super built-up  Area,Ready To Move,Thanisandra,3,1735,3,3,135,7780.98
Super built-up  Area,Ready To Move,Thanisandra,3,2050,3,1,145,7073.17
Plot  Area,Ready To Move,Mahalakshmi Layout,4,3750,4,0,760,20266.67
Built-up  Area,Ready To Move,Yarandahalli,3,1350,2,3,48,3555.56
Super built-up  Area,18-May,Hosa Road,2,1063,2,1,32,3010.35
Super built-up  Area,Ready To Move,Keshava Nagar,3,1904,3,1,150,7878.15
Built-up  Area,Ready To Move,Whitefield,4,4200,4,2,420,10000
Super built-up  Area,Ready To Move,RMV Extension,3,2000,3,1,175,8750
Super built-up  Area,18-Dec,Sarjapur,2,1242.5,2,0,43.49,3500.2
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,1425,2,2,75,5263.16
Super built-up  Area,Ready To Move,Electronic City,3,1500,2,1,64.5,4300
Built-up  Area,Ready To Move,Electronic City,2,1060,2,1,60,5660.38
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,1470,2,2,70,4761.9
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6,1300,6,0,99,7615.38
Super built-up  Area,Ready To Move,Attibele,1,450,1,1,11,2444.44
Super built-up  Area,18-Apr,Electronic City,2,1152,2,1,64.5,5598.96
Super built-up  Area,Ready To Move,Electronic City,3,1350,2,1,56,4148.15
Super built-up  Area,Ready To Move,CV Raman Nagar,3,1550,3,3,65,4193.55
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3,1500,3,2,100,6666.67
Plot  Area,Ready To Move,Kumaraswami Layout,5,600,3,2,85,14166.67
Plot  Area,Ready To Move,Nagavara,1,400,1,0,14,3500
Super built-up  Area,Ready To Move,Malleshwaram,1,705,1,2,67,9503.55
Built-up  Area,Ready To Move,Electronic City,2,770,1,1,36,4675.32
Super built-up  Area,Ready To Move,Hulimavu,2,1242,2,3,51,4106.28
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,1700,3,2,155,9117.65
Super built-up  Area,Ready To Move,Thanisandra,3,2144,3,2,145,6763.06
Super built-up  Area,21-Jun,Vijayanagar,3,1704,3,2,110,6455.4
Super built-up  Area,Ready To Move,Electronic City,2,1070,2,1,52,4859.81
Plot  Area,Ready To Move,8th block Koramangala,3,1846,3,2,300,16251.35
Super built-up  Area,Ready To Move,Jakkuru Layout,2,1340,2,2,55.7,4156.72
Built-up  Area,Ready To Move,Electronic City,2,1025,2,1,46,4487.8
Super built-up  Area,Ready To Move,KR Puram,2,1277.5,2,0,56.8,4446.18
Super built-up  Area,Ready To Move,Marathahalli,2,1200,2,2,52,4333.33
